arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
B_max_over10,GNINA_CNNaff,4.166666666666666,5.0,0.8257134872098376,0.24188467278632422,5093,24
C_mean_top3,GNINA_CNNaff,8.333333333333332,5.0,0.8222035904517656,0.2522672704582315,5093,24
