arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
NMDNscore_max_over10,NMDN,20.833333333333332,3.75,0.7544962846057737,0.28916387346208916,5093,24
NMDNscore_mean_top3,NMDN,20.833333333333332,3.75,0.7121555862431775,0.28655802166541683,5093,24
pKd_at_bestNMDN,NMDN,0.0,2.0833333333333335,0.7069770500427435,0.10569591280737008,5093,24
pKd_max_over10,NMDN,0.0,1.6666666666666665,0.7098211350036168,0.07011159672068398,5093,24
pKd_mean_top3,NMDN,0.0,1.6666666666666665,0.7127967383441837,0.08583193851918212,5093,24
