arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
NMDNscore_max_over10,NMDN,3.076923076923077,3.076923076923077,0.6386001199660786,0.16043206004778196,3784,65
NMDNscore_mean_top3,NMDN,1.5384615384615385,2.769230769230769,0.6166215070221523,0.14498510369441384,3784,65
pKd_at_bestNMDN,NMDN,0.0,0.9230769230769231,0.5545535400335078,0.05605653146645356,3784,65
pKd_max_over10,NMDN,1.5384615384615385,1.0769230769230769,0.5545990444081328,0.06982111224333072,3784,65
pKd_mean_top3,NMDN,1.5384615384615385,1.3846153846153846,0.5545783606014851,0.08231462693089094,3784,65
