arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
NMDNscore_max_over10,NMDN,4.444444444444445,2.5555555555555554,0.6417955358243927,0.18870264175199453,4595,90
NMDNscore_mean_top3,NMDN,5.555555555555555,2.5555555555555554,0.6288814897027994,0.1861533942399009,4595,90
pKd_at_bestNMDN,NMDN,1.1111111111111112,1.5555555555555556,0.5849315575286719,0.09070839543633391,4595,90
pKd_max_over10,NMDN,2.2222222222222223,1.4444444444444442,0.5989739795289185,0.08891383793840982,4595,90
pKd_mean_top3,NMDN,2.2222222222222223,1.5555555555555556,0.5942606979898878,0.08914180472127632,4595,90
