target,method,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
ADRB2,AutoDock-GNINA,0.0,1.7654967236574528,0.4712891434600747,0.06448219261017485,15627,17
ADRB2,AutoDock-NMDN,0.0,1.1770731339911125,0.45970978231789805,0.04576827590483453,15628,17
ADRB2,DiffDock-GNINA,5.884250474383302,0.5884250474383301,0.4167780748663102,0.05552502407435755,15505,17
ADRB2,DiffDock-NMDN,0.0,0.0,0.34893427929022847,0.00554292975134293,15505,17
ADRB2,DiffDock,0.0,4.118975332068311,0.7383097350510451,0.2166839094110981,15505,17
ALDH1,AutoDock-GNINA,2.1497159889428805,1.632549779757664,0.5989947318363933,0.13414185236417214,144966,7167
ALDH1,AutoDock-NMDN,1.186580661711242,1.3408863651673375,0.5782827975624747,0.10371182930087759,144972,7167
ALDH1,DiffDock-GNINA,1.811029626626658,1.5029572588511684,0.587940653287345,0.12078346725335988,145861,7126
ALDH1,DiffDock-NMDN,1.4106288522497348,1.340247955484314,0.5744275681590085,0.10413374811877633,146863,7163
ALDH1,DiffDock,1.1732599153260732,0.904648890129834,0.47350790543807986,0.07551679948255928,144870,7163
ESR1_ago,AutoDock-GNINA,7.7832167832167825,3.0796900940785834,0.7354245178452671,0.222374008742922,5565,13
ESR1_ago,AutoDock-NMDN,0.0,3.849612617598229,0.7008700953225449,0.11082701431892988,5565,13
ESR1_ago,DiffDock-GNINA,7.734265734265733,3.8461538461538463,0.7362836547175862,0.2367619506189089,5530,13
ESR1_ago,DiffDock-NMDN,0.0,1.540965363750174,0.7112809376653025,0.13590283254554986,5539,13
ESR1_ago,DiffDock,7.746853146853146,0.770482681875087,0.45281049026977366,0.07617859895339561,5539,13
ESR1_ant,AutoDock-GNINA,5.938823529411764,2.945845004668534,0.6953113230735075,0.20157624661956317,5048,102
ESR1_ant,AutoDock-NMDN,0.9898039215686274,1.669312169312169,0.595860786692356,0.0992645995101806,5048,102
ESR1_ant,DiffDock-GNINA,2.198757763975155,1.9788819875776398,0.7078448042757508,0.14074436033095036,4602,91
ESR1_ant,DiffDock-NMDN,2.2044911610129003,2.199709184524803,0.6146630287687109,0.12590386333197143,4614,91
ESR1_ant,DiffDock,1.1022455805064502,0.9898691330361613,0.4490236714424201,0.06096139615002091,4614,91
FEN1,AutoDock-GNINA,0.2724033816425121,0.8697580256434976,0.5090425208093509,0.05035783063887478,18044,368
FEN1,AutoDock-NMDN,1.6344202898550724,1.1959172852598092,0.570970786352411,0.06945767877630676,18044,368
GBA,AutoDock-GNINA,9.10738255033557,3.092359249329759,0.6529754939997455,0.2178054246348608,14927,165
GBA,AutoDock-NMDN,0.0,0.7276139410187668,0.50438739104909,0.039355918624579725,14927,165
GBA,DiffDock-GNINA,5.48051948051948,2.242424242424242,0.5535067899121305,0.14971254236028356,14770,165
GBA,DiffDock-NMDN,1.2097517587127031,1.0844098318407318,0.5432366844871883,0.057659568667905024,14961,166
GBA,DiffDock,4.234131155494461,2.3495546356549193,0.6380989995806138,0.13446704235166435,14961,166
IDH1,AutoDock-GNINA,5.136988241960617,2.051395194252337,0.7124292079797274,0.1291623539534283,18131,39
IDH1,AutoDock-NMDN,0.0,2.051395194252337,0.699617907334025,0.09136964988520664,18131,39
IDH1,DiffDock-GNINA,0.0,3.4218368270245816,0.6990048473273215,0.1380254949430176,17454,38
IDH1,DiffDock-NMDN,2.6398971566848153,1.5793997888704567,0.6772043647615911,0.07700776619456096,17455,38
IDH1,DiffDock,0.0,0.2632332981450761,0.4026676900668736,0.024702971479821836,17455,38
KAT2A,AutoDock-GNINA,0.5159032333645736,0.7218543821750761,0.40461358107320405,0.04416962148088071,17615,194
