arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
NMDN_max_over20,NMDN,20.833333333333332,4.583333333333333,0.8242667850332084,0.3266651531128049,5093,24
NMDN_mean_top3,NMDN,20.833333333333332,4.166666666666667,0.8304152692838824,0.33136645873292636,5093,24
pKd_at_bestNMDN,NMDN,0.0,1.6666666666666665,0.6959048464522917,0.054129081256472096,5093,24
